02-09-2025 - 12:50:22,morganpark,honda,kpro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HertzTime,Engine RPM,Speed,Gear,Voltage,IAT,ECT,MIL,VTS,CL,TPS,MAP,INJ,IGN,Lambda Ratio,Knock Count,Target Cam Angle,Actual Cam Angle,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5,Analog6,Analog7,Ethanol Input1,Ethanol Input2,Ethanol Input3,Latitude,Longitude,LapCount,CurrentTime,CurrentLapStartTime,CurrentLapTime,BestLapTime,PbLapTime,PreviousLapTime
sec,rpm,km/h,,V,C,C,,,,%,kPa,ms,deg,lambda,count,deg,deg,,,,,,,,,hz,%,deg,deg,,,sec,sec,sec,sec,sec,sec
0.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,2,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,0,1,1,0,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.5,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,1,0,1,2,1,0,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.6,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,1,2,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,2,2,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
0.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.4,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,1,1,2,1,1,0,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.5,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,0,2,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
1.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,2,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
2.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
2.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
2.3,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,1,2,1,1,1,0,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
2.4,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,0,0,0,00:00:00 01-01-0001,00:00:00 01-01-0001,0,0,0,0
2.5,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
2.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,1,1,1,0,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
2.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,0,2,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
2.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,1,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
2.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
3.1,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,2,2,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
3.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
3.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
3.4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26205667,152.0366583,0,2/09/2025 12:51,2/09/2025 12:50,61500,0,0,0
3.5,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,0,0,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
3.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,2,1,1,1,0,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
3.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
3.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
3.9,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
4.1,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,2,1,2,1,1,0,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
4.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,2,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
4.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,2,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
4.4,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,429,65522,2,2,1,1,1,1,50,0,0,-28.26206667,152.0366517,0,2/09/2025 12:51,2/09/2025 12:50,62500,0,0,0
4.5,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
4.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,1,1,1,1,0,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
4.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
4.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,2,1,1,1,0,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
4.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,2,2,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
5,0,0,0,13,31,55,0,0,1,0,97,0,0,1,0,0,0,357,65522,1,1,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
5.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
5.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,2,1,1,1,0,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
5.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
5.4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.262075,152.0366433,0,2/09/2025 12:51,2/09/2025 12:50,63500,0,0,0
5.5,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,0,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
5.6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
5.7,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,357,65522,1,2,1,1,1,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
5.8,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,65263,65522,1,2,1,1,1,0,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
5.9,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,2,1,1,1,1,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
6,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,2,1,1,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
6.1,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
6.2,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,2,1,0,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
6.3,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,1,1,1,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
6.4,0,0,0,13,31,55,0,0,1,0,96,0,0,1,0,0,0,429,65522,1,1,0,1,0,1,50,0,0,-28.26208167,152.0366417,0,2/09/2025 12:51,2/09/2025 12:50,64500,0,0,0
